condition_id,condition_slug,issue_group,issue_type,issue_count,unique_segment_count,unique_segment_rate_pct,checked_messages,severity_counts
C0,C0_baseline_nomask_noods_1cand,accelerator,accelerator_count_mismatch,2,2,2.0,100,"{""minor"": 2}"
C0,C0_baseline_nomask_noods_1cand,content_or_terminology,possibly_untranslated,7,7,7.0,100,"{""major"": 7}"
C0,C0_baseline_nomask_noods_1cand,content_or_terminology,high_english_residue,3,3,3.0,100,"{""minor"": 3}"
C0,C0_baseline_nomask_noods_1cand,newline,newline_count_mismatch,3,3,3.0,100,"{""minor"": 3}"
C1,C1_full_mask_ods_3cand,content_or_terminology,possibly_untranslated,10,10,10.0,100,"{""major"": 10}"
C1,C1_full_mask_ods_3cand,content_or_terminology,high_english_residue,2,2,2.0,100,"{""minor"": 2}"
C2,C2_nomask_ods_3cand,accelerator,accelerator_count_mismatch,2,2,2.0,100,"{""minor"": 2}"
C2,C2_nomask_ods_3cand,content_or_terminology,possibly_untranslated,6,6,6.0,100,"{""major"": 6}"
C2,C2_nomask_ods_3cand,content_or_terminology,high_english_residue,3,3,3.0,100,"{""minor"": 3}"
C2,C2_nomask_ods_3cand,newline,newline_count_mismatch,3,3,3.0,100,"{""minor"": 3}"
C3,C3_mask_noods_3cand,content_or_terminology,possibly_untranslated,10,10,10.0,100,"{""major"": 10}"
C3,C3_mask_noods_3cand,content_or_terminology,high_english_residue,3,3,3.0,100,"{""minor"": 3}"
C4,C4_mask_ods_1cand,content_or_terminology,possibly_untranslated,10,10,10.0,100,"{""major"": 10}"
C4,C4_mask_ods_1cand,content_or_terminology,high_english_residue,4,4,4.0,100,"{""minor"": 4}"
